cbo,dit,fanin,fanout,lcom,noc,loc,rfc,wmc,totalMethodsQty,protectedMethodsQty,publicMethodsQty,privateMethodsQty,finalFieldsQty,protectedFieldsQty,publicFieldsQty,privateFieldsQty,predicted_bug
0,1,0,0,1,0,8,0,2,2,1,1,0,0,0,1,0,1
1,1,0,1,0,0,3,0,1,1,0,0,0,0,0,0,0,1
0,1,0,0,0,0,6,0,1,1,0,1,0,0,0,0,0,0
11,2,0,11,10,0,114,14,5,5,0,5,0,0,0,0,0,0
8,3,0,8,0,0,50,4,4,1,0,1,0,0,0,0,0,1
9,3,2,9,11,0,48,15,10,6,2,4,0,3,2,0,1,0
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
1,1,0,1,1,0,8,0,2,2,0,1,1,0,0,0,0,1
69,3,7,69,2014,4,1029,251,288,77,33,42,2,13,21,0,1,1
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
3,2,0,3,0,0,5,1,1,1,0,1,0,0,0,0,0,1
4,1,0,4,1,0,10,0,2,2,0,2,0,0,0,0,2,1
3,1,0,3,0,0,47,5,1,1,0,1,0,0,0,0,0,0
0,1,0,0,1,0,8,0,2,2,0,2,0,0,0,1,0,0
2,3,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,2,1,0,11,0,3,3,1,2,0,0,0,0,0,0
7,2,1,7,91,0,119,19,14,14,0,12,2,0,0,0,0,0
4,1,0,4,0,0,13,2,3,2,0,2,0,0,0,0,1,1
0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,1,0,4,0,0,16,1,4,4,0,4,0,0,0,0,0,1
4,2,0,4,0,0,5,1,1,1,0,1,0,0,0,0,0,1
5,1,8,5,3,0,7,0,3,3,0,3,0,0,0,0,0,0
4,1,0,4,0,0,13,4,2,2,0,1,0,2,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
4,1,0,4,1,0,15,0,3,3,1,2,0,0,0,1,0,1
4,1,1,4,9,0,162,1,8,7,0,7,0,0,0,0,2,0
4,2,0,4,1,0,62,28,2,2,0,2,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
7,2,0,7,0,0,43,12,6,3,0,3,0,1,0,0,1,0
6,2,0,6,0,0,12,0,1,1,0,1,0,0,0,0,0,1
3,1,0,3,0,0,9,2,2,2,0,2,0,0,0,1,0,1
3,1,0,3,0,0,9,2,2,2,0,2,0,0,0,1,0,1
4,1,0,4,0,0,12,0,1,1,0,1,0,0,0,4,0,1
0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0
4,2,0,4,0,0,9,5,2,1,0,1,0,0,0,0,0,1
3,1,0,3,0,0,8,0,1,1,0,1,0,2,0,2,0,1
2,1,0,2,0,0,29,0,9,5,0,5,0,3,0,0,3,1
10,2,0,10,0,0,45,4,12,12,0,8,0,1,0,0,1,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
4,2,0,4,0,0,10,1,2,2,0,2,0,1,1,0,0,1
0,1,0,0,1,0,11,1,3,2,0,2,0,0,0,1,0,0
4,1,0,4,0,0,16,0,5,4,1,3,0,1,1,0,0,1
4,1,0,4,1,0,11,0,3,2,0,2,0,0,0,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,10,0,2,2,0,2,0,0,0,2,0,0
3,1,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,1
6,2,0,6,0,0,8,1,1,1,0,1,0,1,1,0,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,1,0,13,0,2,2,0,2,0,0,0,3,0,0
7,1,0,7,0,0,11,4,4,1,0,1,0,0,0,0,0,1
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0
1,1,0,1,0,0,6,1,1,1,0,1,0,0,0,1,0,1
1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,0,7,0,1,1,0,1,0,0,0,2,0,0
2,1,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3,1,0,3,1,0,8,0,2,2,0,2,0,0,0,1,0,0
7,2,0,7,0,0,18,2,5,4,0,4,0,0,1,0,0,1
1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
3,2,0,3,0,0,4,0,1,1,0,1,0,0,0,0,0,1
3,1,0,3,1,0,13,0,2,2,0,1,1,0,3,0,0,1
3,1,0,3,0,0,6,0,1,1,0,1,0,0,0,1,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
1,1,0,1,0,0,3,1,0,0,0,0,0,0,0,1,0,1
4,1,1,4,1,0,15,9,3,2,0,1,0,1,0,0,1,1
3,1,1,3,9,0,58,14,13,7,1,5,1,2,1,1,1,0
3,1,29,3,0,0,3,0,1,1,0,1,0,0,0,0,0,0
5,4,2,5,4,0,90,17,26,17,3,14,0,2,1,0,1,0
1,1,0,1,1,0,8,0,2,2,0,2,0,0,0,0,0,0
6,1,0,6,1,0,8,0,2,2,0,1,0,0,0,1,0,1
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
13,1,1,13,0,0,502,45,43,30,0,29,1,1,0,0,1,0
6,2,0,6,6,0,36,8,9,4,0,4,0,1,0,0,1,0
1,2,0,1,3,0,11,0,3,3,0,3,0,0,0,0,0,1
6,1,0,6,1,0,8,0,2,2,0,1,0,0,0,1,0,1
2,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1
57,3,1,57,325,0,585,197,155,26,18,6,2,3,0,1,2,1
1,4,4,1,3,0,11,0,3,3,0,3,0,0,0,0,0,0
2,1,0,2,0,0,5,0,1,1,0,1,0,0,0,0,0,1
5,1,0,5,1,0,14,1,4,2,1,1,0,0,0,1,0,1
13,1,1,13,16,0,163,17,10,9,0,7,2,1,0,0,1,0
1,2,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,0,16,0,1,1,0,1,0,8,0,0,0,1
4,2,0,4,0,0,9,1,2,2,0,2,0,1,1,0,0,1
10,2,0,10,11,0,25,5,6,6,1,5,0,3,2,0,1,1
7,4,0,7,0,0,50,11,14,8,1,6,1,3,2,0,1,1
6,3,0,6,0,0,31,8,1,1,0,0,0,0,0,0,0,0
3,1,0,3,0,0,4,0,0,0,0,0,0,0,0,2,0,1
4,1,0,4,1,0,28,0,2,2,0,2,0,0,0,0,0,0
1,1,0,1,1,0,8,0,2,2,0,2,0,0,0,1,0,0
3,1,0,3,0,0,6,0,1,1,0,1,0,0,0,1,0,0
1,1,0,1,3,0,23,0,6,6,0,6,0,0,0,1,0,1
7,4,1,7,3,0,22,11,5,3,0,3,0,0,0,0,0,0
1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0
5,1,8,5,6,0,28,0,4,4,0,4,0,0,0,0,0,0
2,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,1
