file;class;type;cbo;cboModified;fanin;fanout;wmc;dit;noc;rfc;lcom;lcom*;tcc;lcc;totalMethodsQty;staticMethodsQty;publicMethodsQty;privateMethodsQty;protectedMethodsQty;defaultMethodsQty;visibleMethodsQty;abstractMethodsQty;finalMethodsQty;synchronizedMethodsQty;totalFieldsQty;staticFieldsQty;publicFieldsQty;privateFieldsQty;protectedFieldsQty;defaultFieldsQty;finalFieldsQty;synchronizedFieldsQty;nosi;loc;returnQty;loopQty;comparisonsQty;tryCatchQty;parenthesizedExpsQty;stringLiteralsQty;numbersQty;assignmentsQty;mathOperationsQty;variablesQty;maxNestedBlocksQty;anonymousClassesQty;innerClassesQty;lambdasQty;uniqueWordsQty;modifiers;logStatementsQty
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\xy\IntervalXYDelegate.java;org.jfree.data.xy.IntervalXYDelegate;class;7;11;4;7;43;1;0;19;81;0.7651515;0.31578946;0.7157895;22;0;20;2;0;0;20;0;0;0;6;1;0;6;0;0;1;0;3;157;22;2;9;0;5;3;13;44;15;27;2;0;0;0;224;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\plot\PolarPlotTest.java;org.jfree.chart.plot.PolarPlotTest;class;13;13;0;13;8;1;0;37;28;0.0;0.0;0.0;8;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;220;0;0;0;0;0;25;190;54;0;36;0;0;0;0;79;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\general\DatasetUtilsTest.java;org.jfree.data.general.DatasetUtilsTest;class;30;31;1;30;72;1;0;61;598;0.4;0.40491804;0.40491804;65;0;61;4;0;0;61;0;0;0;1;1;0;1;0;0;1;0;27;886;4;0;0;4;0;235;767;301;2;210;1;0;0;0;231;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\xy\CategoryTableXYDatasetTest.java;org.jfree.data.xy.CategoryTableXYDatasetTest;class;3;3;0;3;6;1;0;15;13;0.6666667;0.0;0.0;6;0;6;0;0;0;6;0;0;0;1;1;0;1;0;0;1;0;0;89;0;0;0;0;0;20;100;11;0;11;0;0;0;0;68;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\KeyedObjects2D.java;org.jfree.data.KeyedObjects2D;class;5;9;4;5;57;1;0;51;0;0.60227275;0.54112554;0.66233766;22;0;22;0;0;0;22;0;0;0;4;1;0;4;0;0;1;0;2;225;22;7;9;0;1;18;21;52;10;40;4;0;0;0;124;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\renderer\xy\HighLowRendererTest.java;org.jfree.chart.renderer.xy.HighLowRendererTest;class;8;8;0;8;6;1;0;17;15;0.0;0.0;0.0;6;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;71;0;0;0;0;0;3;22;21;0;16;0;0;0;0;71;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\swing\ApplicationFrame.java;org.jfree.chart.swing.ApplicationFrame;class;0;0;0;0;9;6;0;4;28;0.0;0.0;0.0;8;0;8;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;1;24;0;0;1;0;0;0;1;0;0;0;1;0;0;0;56;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\time\TimeSeriesTableModel.java;org.jfree.data.time.TimeSeriesTableModel;class;5;5;0;5;28;2;0;9;33;0.75;0.2;0.27272728;11;0;11;0;0;0;11;0;0;0;4;0;0;4;0;0;0;0;2;114;17;0;13;1;2;4;14;5;0;5;3;0;0;0;93;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\entity\LegendItemEntity.java;org.jfree.chart.entity.LegendItemEntity;class;4;6;2;4;13;2;0;3;6;0.71875;0.39285713;0.53571427;8;0;8;0;0;0;8;0;0;0;4;1;0;4;0;0;1;0;2;46;10;0;2;0;1;2;1;4;1;5;1;0;0;0;76;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\time\TimeTableXYDataset.java;org.jfree.data.time.TimeTableXYDataset;class;12;13;1;12;52;2;0;40;250;0.75757575;0.2701613;0.3830645;33;0;32;1;0;0;32;0;0;0;4;0;0;4;0;0;0;0;7;188;31;0;8;0;3;3;12;33;12;21;1;0;0;0;229;1;0
