index;cbo;dit;fanin;fanout;lcom;noc;loc;rfc;wmc;totalMethodsQty;protectedMethodsQty;publicMethodsQty;privateMethodsQty;finalFieldsQty;protectedFieldsQty;publicFieldsQty;privateFieldsQty;bugs
8129;2;1;0;2;1;0;12;0;3;3;0;3;0;0;0;0;0;0
8130;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8131;6;2;1;6;1;0;32;6;5;2;0;1;1;0;0;0;1;0
8132;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8133;0;1;0;0;6;0;6;0;4;4;0;0;0;0;0;0;0;0
8134;5;2;0;5;0;0;4;0;0;0;0;0;0;0;0;0;2;0
8135;2;1;0;2;0;0;4;0;0;0;0;0;0;0;0;0;0;0
8136;9;5;0;9;8;0;68;20;6;5;0;5;0;0;0;0;0;0
8137;3;1;0;3;0;0;19;2;4;3;0;2;0;0;0;0;1;0
8138;2;2;0;2;0;0;20;5;4;4;0;2;2;0;0;0;2;0
8139;0;1;0;0;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8140;1;1;1;1;6;0;42;7;13;4;0;1;3;0;0;0;0;0
8141;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8142;0;1;0;0;0;0;6;0;1;1;1;0;0;0;0;1;0;0
8143;1;1;7;1;1;0;4;0;2;2;0;0;0;0;0;0;0;0
8144;12;2;0;12;0;0;66;4;5;5;0;5;0;0;0;0;0;0
8145;1;1;0;1;0;0;5;5;1;1;0;1;0;0;0;0;0;0
8146;1;1;0;1;0;0;7;0;1;1;0;0;0;0;0;0;0;0
8147;1;1;0;1;0;0;5;2;1;1;0;0;0;0;0;0;0;0
8148;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8149;0;1;0;0;0;0;5;0;1;1;0;0;0;0;0;0;0;0
8150;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8151;0;1;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8152;1;1;1;1;10;0;88;30;24;5;0;0;5;0;0;0;0;0
8153;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8154;1;5;1;1;1;0;9;2;2;2;0;2;0;0;0;0;1;0
8155;4;1;0;4;1;0;14;7;2;2;0;2;0;0;0;1;0;0
8156;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8157;0;1;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0
8158;2;1;0;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0
8159;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8160;0;1;0;0;0;0;5;1;1;1;0;0;0;0;0;0;0;0
8161;1;1;0;1;0;0;9;0;2;2;0;2;0;0;0;0;1;0
8162;1;1;0;1;0;0;7;0;1;1;0;1;0;0;0;0;1;0
8163;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8164;4;1;2;4;0;0;33;10;6;5;0;5;0;0;0;0;2;0
8165;8;1;1;8;0;0;14;1;2;2;0;1;0;0;0;0;1;0
8166;12;3;1;12;0;0;47;15;9;9;0;8;1;0;0;0;4;0
8167;3;1;1;3;2;0;24;0;5;5;0;5;0;0;0;0;4;0
8168;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8169;1;1;5;1;0;0;23;3;8;5;0;4;1;0;0;0;2;1
8170;0;1;0;0;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8171;0;1;0;0;0;0;4;0;1;1;0;1;0;0;0;0;0;0
8172;5;2;0;5;0;0;97;20;16;10;0;10;0;0;0;0;1;0
8173;0;1;0;0;0;0;7;0;1;1;0;0;1;0;0;3;0;0
8174;5;2;0;5;1;0;18;3;2;2;0;2;0;0;0;0;0;0
8175;7;1;1;7;0;0;16;6;4;4;0;4;0;0;0;0;1;0
8176;0;1;0;0;0;0;5;1;1;1;0;1;0;0;0;0;0;0
8177;1;2;0;1;0;0;5;1;1;1;0;1;0;0;0;0;0;0
8178;0;1;0;0;0;0;3;0;1;1;0;0;0;0;0;0;0;0
8179;7;2;0;7;0;0;54;8;6;4;0;4;0;0;0;0;3;0
8180;1;2;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0
8181;1;1;0;1;0;0;5;0;1;1;0;1;0;0;0;0;0;0
8182;6;2;0;6;0;0;56;14;10;6;0;6;0;0;0;0;0;0
