file;class;type;cbo;cboModified;fanin;fanout;wmc;dit;noc;rfc;lcom;lcom*;tcc;lcc;totalMethodsQty;staticMethodsQty;publicMethodsQty;privateMethodsQty;protectedMethodsQty;defaultMethodsQty;visibleMethodsQty;abstractMethodsQty;finalMethodsQty;synchronizedMethodsQty;totalFieldsQty;staticFieldsQty;publicFieldsQty;privateFieldsQty;protectedFieldsQty;defaultFieldsQty;finalFieldsQty;synchronizedFieldsQty;nosi;loc;returnQty;loopQty;comparisonsQty;tryCatchQty;parenthesizedExpsQty;stringLiteralsQty;numbersQty;assignmentsQty;mathOperationsQty;variablesQty;maxNestedBlocksQty;anonymousClassesQty;innerClassesQty;lambdasQty;uniqueWordsQty;modifiers;logStatementsQty
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\xy\XYZDataset.java;org.jfree.data.xy.XYZDataset;interface;2;6;4;2;2;1;0;0;1;0.0;0.0;0.0;2;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\AreaRendererEndType.java;org.jfree.chart.renderer.AreaRendererEndType;enum;0;1;1;0;0;1;0;0;0;0.0;-1.0;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\time\ohlc\OHLCSeriesTest.java;org.jfree.data.time.ohlc.OHLCSeriesTest;class;5;5;0;5;13;1;0;22;64;0.8333333;0.015151516;0.015151516;12;0;12;0;0;0;12;0;0;0;1;0;0;0;0;1;0;0;0;125;0;0;0;1;0;15;161;22;1;19;1;0;0;0;96;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\gantt\TaskSeries.java;org.jfree.data.gantt.TaskSeries;class;4;7;3;4;17;2;0;15;0;0.0;1.0;1.0;11;0;11;0;0;0;11;0;0;0;1;0;0;1;0;0;0;0;2;67;11;1;1;0;1;1;3;11;2;8;2;0;0;0;95;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\event\TitleChangeEvent.java;org.jfree.chart.event.TitleChangeEvent;class;2;6;4;2;2;2;0;0;0;0.0;1.0;1.0;2;0;2;0;0;0;2;0;0;0;1;0;0;1;0;0;1;0;0;10;1;0;0;0;0;0;0;1;0;1;0;0;0;0;21;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources_fr.java;org.jfree.data.resources.DataPackageResources_fr;class;0;0;0;0;1;3;0;0;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;6;1;0;0;0;0;4;0;1;0;1;0;0;0;0;35;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\category\WaterfallBarRenderer.java;org.jfree.chart.renderer.category.WaterfallBarRenderer;class;18;20;2;18;45;4;0;47;21;0.68;0.26923078;0.5769231;15;0;13;2;0;0;13;0;0;0;5;1;0;5;0;0;1;0;6;207;15;2;15;0;2;8;60;67;13;38;4;0;0;0;219;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\block\EmptyBlock.java;org.jfree.chart.block.EmptyBlock;class;6;7;1;6;5;2;0;11;10;1.0;0.0;0.0;5;0;5;0;0;0;5;0;0;0;1;1;0;1;0;0;1;0;0;22;3;0;0;0;0;0;1;3;0;2;0;0;0;0;79;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\api\Rotation.java;org.jfree.chart.api.Rotation;enum;0;3;3;0;2;1;0;0;0;0.0;1.0;1.0;2;0;1;0;0;1;2;0;0;0;1;0;0;1;0;0;1;0;0;11;1;0;0;0;0;0;2;1;0;1;0;0;0;0;34;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\event\ChartChangeEventType.java;org.jfree.chart.event.ChartChangeEventType;enum;0;1;1;0;0;1;0;0;0;0.0;-1.0;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\plot\MeterPlotTest.java;org.jfree.chart.plot.MeterPlotTest;class;6;6;0;6;4;1;0;29;6;0.0;0.0;0.0;4;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;114;0;0;0;0;0;12;83;8;0;8;0;0;0;0;56;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\api\TableOrder.java;org.jfree.chart.api.TableOrder;enum;0;3;3;0;0;1;0;0;0;0.0;-1.0;-1.0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\data\xy\XIntervalSeriesTest.java;org.jfree.data.xy.XIntervalSeriesTest;class;4;4;0;4;14;1;0;25;47;0.67857146;0.17582418;0.17582418;14;0;14;0;0;0;14;0;0;0;2;1;0;1;0;1;1;0;0;153;0;0;0;0;0;20;213;24;0;18;0;0;0;0;107;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java;org.jfree.chart.axis.ExtendedCategoryAxis;class;11;12;1;11;22;3;0;17;0;0.6136364;0.6666667;1.0;11;0;8;2;1;0;9;0;0;0;4;1;0;3;0;1;1;0;5;80;10;0;7;0;1;4;2;14;1;10;3;0;0;0;114;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\xy\YisSymbolic.java;org.jfree.data.xy.YisSymbolic;interface;0;0;0;0;3;1;0;0;3;0.0;0.0;0.0;3;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\resources\DataPackageResources_es.java;org.jfree.data.resources.DataPackageResources_es;class;0;0;0;0;1;3;0;0;0;0.0;NaN;NaN;1;0;1;0;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0;6;1;0;0;0;0;4;0;1;0;1;0;0;0;0;35;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\plot\dial\StandardDialScaleTest.java;org.jfree.chart.plot.dial.StandardDialScaleTest;class;4;4;0;4;6;1;0;27;9;0.5;0.06666667;0.06666667;6;0;6;0;0;0;6;0;0;0;1;1;0;1;0;0;1;0;2;134;0;0;0;0;0;2;137;28;0;14;0;0;0;0;70;1;0
C:\Users\HP\ck\jfreechart\src\test\java\org\jfree\chart\renderer\xy\XYStepAreaRendererTest.java;org.jfree.chart.renderer.xy.XYStepAreaRendererTest;class;9;9;0;9;7;1;0;19;15;0.0;0.0;0.0;6;0;6;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;1;78;0;0;0;1;0;5;22;16;0;16;1;0;0;0;85;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\annotations\AbstractAnnotation.java;org.jfree.chart.annotations.AbstractAnnotation;class;4;13;9;4;15;1;3;11;7;0.54545456;0.3611111;0.3611111;11;0;6;2;3;0;9;0;0;0;2;0;0;2;0;0;0;0;1;51;3;1;1;0;1;0;4;10;2;6;2;0;0;0;115;1025;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\chart\renderer\category\LineAndShapeRenderer.java;org.jfree.chart.renderer.category.LineAndShapeRenderer;class;14;19;5;14;84;3;2;68;413;0.8666666;0.15294118;0.68235296;35;0;35;0;0;0;35;0;0;0;12;1;0;12;0;0;1;0;6;324;38;0;26;0;5;1;25;67;3;48;4;0;0;0;250;1;0
C:\Users\HP\ck\jfreechart\src\main\java\org\jfree\data\general\DefaultKeyedValueDataset.java;org.jfree.data.general.DefaultKeyedValueDataset;class;6;7;1;6;21;2;0;7;3;0.65;0.46666667;0.46666667;10;0;10;0;0;0;10;0;0;0;2;1;0;2;0;0;1;0;2;66;11;0;8;0;2;1;2;9;0;6;2;0;0;0;84;1;0
