iter	Passed	Remaining
281	57367	146063
282	57464	145589
283	57545	145078
284	57616	144545
285	57689	144021
286	57780	143544
287	57863	143051
288	57953	142578
289	58025	142062
290	58097	141549
291	58160	141018
292	58231	140511
293	58314	140034
294	58396	139557
295	58471	139067
296	58530	138541
297	58595	138033
298	58681	137577
299	58739	137059
300	58819	136594
301	58918	136177
302	59008	135739
303	59031	135151
304	59161	134810
305	59241	134358
306	59320	133906
307	59413	133487
308	59528	133119
309	59616	132695
310	59683	132225
311	59743	131742
312	59797	131249
313	59945	130963
314	60022	130524
315	60128	130151
316	60211	129730
317	60324	129374
318	60534	129229
319	60607	128790
320	60687	128371
321	60745	127905
322	60829	127497
323	60909	127081
324	60975	126641
325	61048	126215
326	61143	125839
327	61242	125471
328	61333	125089
329	61401	124664
330	61477	124255
331	61552	123846
332	61617	123419
333	61716	123064
334	61816	122710
335	61911	122349
336	62008	121993
337	62088	121605
338	62171	121224
339	62247	120833
340	62335	120466
341	62416	120087
342	62479	119677
343	62617	119409
344	62683	119007
345	62771	118648
346	62854	118281
347	62931	117905
348	62941	117406
349	63020	117038
350	63133	116733
351	63213	116370
352	63308	116034
353	63398	115693
354	63493	115360
355	63553	114967
356	63638	114621
357	63730	114287
358	63813	113939
359	63878	113562
360	63953	113202
361	64022	112835
362	64134	112544
363	64200	112173
364	64250	111777
365	64319	111417
366	64386	111053
367	64444	110676
368	64516	110325
369	64586	109972
370	64676	109653
371	64737	109287
372	64753	108847
373	64823	108500
374	64889	108148
375	64969	107822
376	65161	107681
377	65645	108019
378	66040	108209
379	66474	108458
380	66893	108679
381	67440	109104
382	69009	111172
383	69684	111785
384	70137	112037
385	70479	112109
386	70902	112308
387	71394	112611
388	71789	112760
389	72238	112987
390	72621	113110
391	73104	113386
392	73526	113564
393	73867	113612
394	74331	113849
395	74486	113611
396	74786	113592
397	75101	113595
398	75528	113766
399	75552	113329
400	75580	112899
401	76277	113467
402	76766	113720
403	77219	113918
404	77735	114204
405	78339	114615
406	78948	115028
407	79677	115610
408	80244	115951
409	80820	116303
410	81383	116630
411	81687	116583
412	82208	116844
413	82748	117127
414	83273	117385
415	83796	117636
416	84384	117976
417	84590	117778
418	84634	117357
419	84692	116956
420	84740	116543
421	84798	116145
422	84851	115743
423	84904	115342
424	84984	114979
425	85044	114590
426	85106	114206
427	85208	113877
428	85294	113527
429	85350	113139
430	85425	112777
431	85478	112387
432	85541	112014
433	85607	111645
434	85677	111282
435	85748	110922
436	85812	110554
437	85882	110196
438	85940	109823
439	86020	109480
440	86087	109121
441	86183	108802
442	86227	108416
443	86293	108060
444	86346	107690
445	86403	107325
446	86468	106973
447	86511	106595
448	86559	106222
449	86621	105871
450	86697	105536
451	86745	105168
452	86768	104774
453	86833	104429
454	86901	104090
455	86957	103738
456	87039	103418
457	87152	103136
458	87228	102812
459	87275	102453
460	87335	102111
461	87406	101785
462	87519	101507
463	87576	101165
464	87650	100844
465	87719	100519
466	87813	100224
467	87843	99856
468	87909	99530
469	87959	99187
470	88022	98861
471	88060	98508
472	88131	98193
473	88183	97857
474	88237	97526
475	88281	97183
476	88372	96895
477	88423	96562
478	88488	96247
479	88540	95918
480	88601	95601
481	88659	95280
482	88710	94955
483	88754	94622
484	88794	94287
485	88849	93968
486	88897	93643
487	88938	93312
488	88945	92946
489	88987	92619
490	89041	92305
491	89091	91988
492	89133	91664
493	89173	91339
494	89209	91011
495	89268	90707
496	89315	90393
497	89361	90078
498	89411	89770
499	89472	89472
500	89526	89169
501	89588	88874
502	89628	88559
503	89671	88247
504	89712	87935
505	89764	87636
506	89814	87334
507	89857	87027
508	89921	86741
509	89975	86447
510	90028	86152
511	90070	85848
512	90115	85548
513	90156	85245
514	90225	84969
515	90271	84673
516	90332	84392
517	90380	84099
518	90446	83824
519	90481	83521
520	90540	83241
521	90581	82946
522	90627	82656
523	90629	82327
524	90687	82050
525	90735	81765
526	90789	81486
527	90843	81208
528	90908	80941
529	90972	80674
530	91032	80403
531	91088	80130
532	91140	79855
533	91197	79583
534	91239	79301
535	91280	79018
536	91294	78713
537	91318	78418
538	91367	78145
539	91419	77876
540	91463	77600
541	91512	77329
542	91561	77060
543	91614	76794
544	91672	76533
545	91711	76258
546	91762	75993
547	91809	75726
548	91858	75461
549	91914	75202
550	91958	74935
551	92017	74680
552	92079	74429
553	92135	74174
554	92195	73922
555	92257	73672
556	92331	73433
557	92676	73410
558	93189	73518
559	93706	73626
560	94098	73635
561	94478	73632
562	95053	73780
563	95499	73825
564	95885	73823
565	96472	73973
566	96918	74013
567	97283	73990
568	97624	73947
569	97988	73921
570	98374	73910
571	99020	74092
572	99464	74120
573	99523	73862
574	99884	73827
575	100310	73839
576	100737	73851
577	101064	73787
578	101440	73759
579	101773	73698
580	102127	73651
581	102508	73622
582	102937	73627
583	103349	73619
584	103804	73639
585	104206	73620
586	104604	73597
587	104968	73549
588	105739	73784
589	106336	73894
590	106797	73908
591	107171	73861
592	107602	73851
593	108096	73884
594	108393	73780
595	108764	73726
596	109411	73857
597	110124	74030
598	110825	74192
599	111354	74236
600	111684	74146
601	111768	73893
602	111854	73642
603	111965	73407
604	112075	73173
605	112158	72921
606	112258	72681
607	112385	72458
608	112454	72199
609	112694	72050
610	112881	71867
611	113094	71700
612	113133	71423
613	113254	71199
614	113339	70952
615	113438	70714
616	113503	70457
617	113571	70200
618	113621	69934
619	113674	69671
620	113730	69410
621	113796	69155
622	113855	68898
623	113922	68645
624	113997	68398
625	114098	68167
626	114203	67939
627	114313	67714
628	114376	67462
629	114439	67210
630	114527	66973
631	114600	66729
632	114697	66499
633	114767	66253
634	114859	66021
635	114909	65765
636	114993	65529
637	115059	65284
638	115131	65042
639	115217	64809
640	115300	64575
641	115366	64331
642	115443	64095
643	115511	63854
644	115578	63612
645	115640	63369
646	115698	63124
647	115764	62884
648	115824	62641
649	115886	62400
650	115946	62158
651	115993	61910
652	116075	61681
653	116256	61505
654	116371	61295
655	116543	61114
656	116702	60927
657	116883	60751
658	117038	60561
659	117180	60365
660	117304	60160
661	117360	59921
662	117441	59695
663	117511	59463
664	117626	59255
665	117723	59038
666	117812	58817
667	117882	58588
668	117929	58347
669	117981	58110
670	118025	57869
671	118093	57640
672	118154	57409
673	118240	57190
674	118308	56963
675	118372	56734
676	118449	56512
677	118501	56279
678	118575	56057
679	118630	55826
680	118690	55598
681	118739	55365
682	118795	55136
683	118879	54920
684	118976	54711
685	119042	54488
686	119141	54281
687	119228	54068
688	119344	53869
689	119423	53653
690	119497	53436
691	119565	53217
692	119636	52999
693	119711	52783
694	119772	52562
695	119830	52339
696	119900	52122
697	119964	51904
698	120046	51693
699	120154	51494
700	120229	51282
701	120278	51058
702	120335	50838
703	120420	50631
704	120479	50413
705	120540	50196
706	120602	49981
707	120670	49768
708	120741	49556
709	120791	49337
710	120838	49117
711	120895	48901
712	120974	48695
713	121023	48477
714	121063	48255
715	121104	48035
716	121169	47825
717	121215	47608
718	121266	47393
719	121319	47179
720	121371	46966
721	121429	46755
722	121481	46542
723	121548	46335
724	121626	46134
725	121692	45928
726	121756	45721
727	121825	45517
728	121888	45311
729	121966	45110
730	122038	44908
731	122100	44703
732	122153	44495
733	122201	44285
734	122286	44089
735	122370	43893
736	122421	43686
737	122496	43487
738	122555	43284
739	122600	43075
740	122651	42870
741	122705	42665
742	122751	42459
743	122792	42251
744	122852	42050
745	122902	41846
746	122957	41644
747	123007	41440
748	123088	41248
749	123144	41048
750	123195	40846
751	123241	40643
752	123294	40443
753	123352	40244
754	123399	40043
755	123466	39848
756	123530	39653
757	123610	39464
758	123659	39264
759	123709	39066
760	123763	38869
761	123864	38687
762	123919	38491
763	123964	38292
764	124008	38094
765	124054	37896
766	124098	37698
767	124135	37499
768	124181	37302
769	124221	37105
770	124262	36907
771	124310	36713
772	124356	36518
773	124403	36324
774	124444	36128
775	124511	35941
776	124561	35749
777	124616	35558
778	124659	35365
779	124711	35175
780	124759	34983
781	124797	34790
782	124840	34598
783	124891	34408
784	124941	34219
785	124991	34030
786	125039	33841
787	125093	33654
788	125130	33463
789	125165	33271
790	125201	33081
791	125249	32893
792	125289	32704
793	125333	32517
794	125370	32328
795	125404	32138
796	125453	31953
797	125491	31766
798	125525	31577
799	125560	31390
800	125616	31208
801	125643	31019
802	125688	30835
803	125726	30649
804	125762	30464
805	125800	30279
806	125841	30095
807	125880	29912
808	125920	29728
809	125951	29544
810	125993	29362
811	126039	29181
812	126076	28999
813	126108	28815
814	126143	28633
815	126177	28451
816	126217	28271
817	126262	28092
818	126307	27914
819	126346	27734
820	126382	27554
821	126423	27376
822	126460	27197
823	126510	27021
824	126539	26841
825	126572	26662
826	126604	26484
827	126643	26307
828	126676	26129
829	126710	25952
830	126747	25776
831	126781	25600
832	126813	25423
833	126859	25250
834	126901	25076
835	126950	24904
836	126990	24730
837	127036	24558
838	127081	24386
839	127115	24212
840	127154	24039
841	127193	23867
842	127229	23695
843	127275	23524
844	127315	23353
845	127367	23185
846	127416	23016
847	127454	22845
848	127499	22676
849	127543	22507
850	127585	22338
851	127620	22168
852	127655	21999
853	127695	21830
854	127736	21662
855	127769	21493
856	127809	21326
857	127960	21177
858	128142	21033
859	128381	20899
860	128614	20763
861	128876	20632
862	129124	20498
863	129330	20357
864	129512	20212
865	129744	20076
866	129991	19940
867	130175	19796
868	130334	19647
869	130546	19507
870	130755	19365
871	130957	19223
872	131151	19079
873	131386	18941
874	131590	18798
875	131797	18656
876	131980	18510
877	132183	18367
878	132371	18221
879	132614	18083
880	132840	17943
881	133025	17797
882	133215	17651
883	133417	17507
884	133650	17366
885	133848	17222
886	134073	17080
887	134383	16949
888	134608	16807
889	134837	16665
890	135068	16523
891	135280	16379
892	135492	16234
893	135681	16087
894	135874	15940
895	136086	15795
896	136294	15650
897	136540	15509
898	136789	15367
899	137011	15223
900	137218	15077
901	137441	14932
902	137668	14788
903	137861	14640
904	138075	14494
905	138299	14348
906	138522	14203
907	138712	14054
908	138945	13909
909	139145	13761
910	139376	13616
911	139587	13469
912	139808	13322
913	139992	13172
914	140205	13024
915	140416	12876
916	140617	12727
917	140853	12581
918	141039	12431
919	141212	12279
920	141423	12130
921	141644	11982
922	141864	11834
923	142102	11688
924	142317	11539
925	142528	11389
926	142759	11242
927	142943	11090
928	143162	10941
929	143378	10791
930	143586	10641
931	143779	10490
932	143962	10338
933	144210	10190
934	144461	10042
935	144708	9894
936	144909	9743
937	145126	9592
938	145336	9441
939	145563	9291
940	145799	9141
941	146008	8989
942	146221	8838
943	146451	8687
944	146647	8535
945	146822	8381
946	147024	8228
947	147266	8077
948	147370	7919
949	147413	7758
950	147441	7596
951	147469	7435
952	147505	7274
953	147538	7114
954	147571	6953
955	147599	6793
956	147634	6633
957	147821	6480
958	147924	6324
959	148022	6167
960	148085	6009
961	148191	5853
962	148305	5698
963	148420	5542
964	148509	5386
965	148602	5230
966	148671	5073
967	148756	4917
968	148813	4760
969	148865	4604
970	148994	4449
971	149076	4294
972	149145	4138
973	149199	3982
974	149246	3826
975	149288	3671
976	149336	3515
977	149374	3360
978	149406	3204
979	149441	3049
980	149474	2895
981	149508	2740
982	149532	2586
983	149562	2431
984	149608	2278
985	149650	2124
986	149690	1971
987	149727	1818
988	149768	1665
989	149835	1513
990	149876	1361
991	149911	1208
992	149940	1056
993	149966	905
994	150016	753
995	150063	602
996	150112	451
997	150150	300
998	150206	150
999	150242	0
