iter	Logloss
0	0.6870471045
1	0.6795590928
2	0.6729683755
3	0.6697363703
4	0.660499223855	0.655314391
6	0.6498133911
7	0.6448634548
8	0.638629842
9	0.6329253624
10	0.6265728714
11	0.6230373687
12	0.6185700958
13	0.613478294
14	0.6080886071
15	0.6028967031
16	0.5975424781
17	0.5935759446
18	0.5894000756
19	0.586004483
20	0.5821413785
21	0.5774935941
22	0.5739211934
23	0.5701516065
24	0.565157166
25	0.5603877061
26	0.556042002
27	0.5517996408
28	0.5477345487
29	0.5442051671
30	0.5406769233
31	0.5370293319
32	0.5330492531
33	0.5296954213
34	0.5265624095
35	0.5230163807
36	0.5192389103
37	0.5164302297
38	0.5144911415
39	0.5112114637
40	0.5073630475
41	0.5037698174
42	0.5009540682
43	0.4975312284
44	0.4948599933
45	0.4913621261
46	0.489197449
47	0.4854051665
48	0.4840856733
49	0.480836002
50	0.4779606002
51	0.4755206832
52	0.4725446969
53	0.4696156905
54	0.4677900678
55	0.4649300775
56	0.4621644539
57	0.4596178807
58	0.4570723567
59	0.454847648
60	0.4525712112
61	0.4498809535
62	0.4475955768
63	0.4457462894
64	0.4432391223
65	0.4410564759
66	0.439253296
67	0.4369032278
68	0.4346523681
69	0.4324012833
70	0.4301611627
71	0.4276525719
72	0.4256663782
73	0.4238794372
74	0.4209548043
75	0.419668488
76	0.4177642261
77	0.4157112211
78	0.4140916382
79	0.4124905046
80	0.4111965371
81	0.4091626385
82	0.4074649931
83	0.4060206573
84	0.4050268488
85	0.4031419998
86	0.4010268581
87	0.3988671365
88	0.3976024967
89	0.395673916
90	0.3941801047
91	0.3924799145
92	0.3913082564
93	0.3895665602
94	0.3877188511
95	0.3867101749
96	0.3851997568
97	0.3831297461
98	0.3817106261
99	0.3804703826
100	0.3784928821
101	0.3773269915
102	0.3758862333
103	0.3740232825
104	0.3728478086
105	0.3716768131
106	0.3703586395
107	0.3691904425
108	0.3676255866
109	0.3666085709
110	0.3647426034
111	0.3635977229
112	0.3631646847
113	0.3616690991
114	0.3604728843
115	0.3593434311
116	0.3582591247
117	0.3568417924
118	0.3559607101
119	0.3543933875
120	0.3531208325
121	0.3526515334
122	0.3521677061
123	0.350763034
124	0.349010574
125	0.3481281051
126	0.3464134356
127	0.3455569839
128	0.3437798245
129	0.3430618408
130	0.3416958491
131	0.3410295217
132	0.339883057
133	0.338674656
134	0.3376864667
135	0.3366416421
136	0.3355932761
137	0.3346834603
138	0.3337333069
139	0.3326157373
140	0.3321202941
141	0.3315407378
142	0.3302229138
143	0.3298256171
144	0.3291905896
145	0.3284697238
146	0.3277873038
147	0.3269723442
148	0.3254305472
149	0.3244657142
150	0.3238096407
151	0.3225646611
152	0.3214824124
153	0.3201771935
154	0.3189861729
155	0.317944006
156	0.3169802825
157	0.3161434028
158	0.3153916804
159	0.314253142
160	0.3138272672
161	0.3130108969
162	0.3119914853
163	0.3115216631
164	0.3105352326
165	0.3100186534
166	0.3093842532
167	0.3084487186
168	0.3078698141
169	0.3066001787
170	0.3053933756
171	0.3048636757
172	0.3041042538
173	0.3031749077
174	0.3022378798
175	0.3018384671
176	0.3012971982
177	0.3006995855
178	0.2996754924
179	0.2994059951
180	0.298898775
181	0.2979216979
182	0.2973148528
183	0.296484021
184	0.2959426443
185	0.2952821369
186	0.2950316072
187	0.2944862932
188	0.2941199398
189	0.2935070904
190	0.2927705402
191	0.2923376627
192	0.2914639626
193	0.2908644866
194	0.2904930663
195	0.2894895687
196	0.2887582106
197	0.2879084922
198	0.2875672847
199	0.2871249637
200	0.2868631321
201	0.2865720284
202	0.2854986249
203	0.2848126448
204	0.2841887405
205	0.2836698535
206	0.2831938201
207	0.2826256424
208	0.2823515409
209	0.2820494795
210	0.2817898361
211	0.2814324598
212	0.2806096864
213	0.2795254346
214	0.2794016841
215	0.2787865177
216	0.2786398065
217	0.2779782161
218	0.2773645643
219	0.2766730691
220	0.2764661187
221	0.2761405091
222	0.2753035479
223	0.275006596
224	0.274196424
225	0.2734328772
226	0.2725558764
227	0.2716519279
228	0.2712060211
229	0.2708350913
230	0.2706847626
231	0.2704965433
232	0.2704613537
233	0.270212194
234	0.2695095099
235	0.2691062141
236	0.2687778203
237	0.2680193198
238	0.2672382704
239	0.2668547828
240	0.2662975661
241	0.2657031282
242	0.2649153842
